URL,License,Title,Author(s),PDF
http://arxiv.org/abs/2302.06476v2,creativecommons.org/licenses/by-sa/4.0/,Is ChatGPT a General-Purpose Natural Language Processing Task Solver?,Chengwei Qin and Aston Zhang and Zhuosheng Zhang and Jiaao Chen and Michihiro Yasunaga and Diyi Yang,http://arxiv.org/pdf/2302.06476v2
http://arxiv.org/abs/2101.03289v5,creativecommons.org/licenses/by-sa/4.0/,Trankit: A Light-Weight Transformer-based Toolkit for Multilingual Natural Language Processing,Minh Van Nguyen and Viet Dac Lai and Amir Pouran Ben Veyseh and Thien Huu Nguyen,http://arxiv.org/pdf/2101.03289v5
http://arxiv.org/abs/2211.09085v1,creativecommons.org/licenses/by-sa/4.0/,Galactica: A Large Language Model for Science,Ross Taylor and Marcin Kardas and Guillem Cucurull and Thomas Scialom and Anthony Hartshorn and Elvis Saravia and Andrew Poulton and Viktor Kerkez and Robert Stojnic,http://arxiv.org/pdf/2211.09085v1
http://arxiv.org/abs/2302.07735v1,creativecommons.org/licenses/by-sa/4.0/,Targeted Attack on GPT-Neo for the SATML Language Model Data Extraction Challenge,Ali Al-Kaswan and Maliheh Izadi and Arie van Deursen,http://arxiv.org/pdf/2302.07735v1
http://arxiv.org/abs/2202.07359v1,creativecommons.org/licenses/by-sa/4.0/,textless-lib: a Library for Textless Spoken Language Processing,Eugene Kharitonov and Jade Copet and Kushal Lakhotia and Tu Anh Nguyen and Paden Tomasello and Ann Lee and Ali Elkahky and Wei-Ning Hsu and Abdelrahman Mohamed and Emmanuel Dupoux and Yossi Adi,http://arxiv.org/pdf/2202.07359v1
http://arxiv.org/abs/2106.05822v1,creativecommons.org/licenses/by-sa/4.0/,GroupBERT: Enhanced Transformer Architecture with Efficient Grouped Structures,Ivan Chelombiev and Daniel Justus and Douglas Orr and Anastasia Dietrich and Frithjof Gressmann and Alexandros Koliousis and Carlo Luschi,http://arxiv.org/pdf/2106.05822v1
http://arxiv.org/abs/2207.00352v1,creativecommons.org/licenses/by-sa/4.0/,Toward Low-Cost End-to-End Spoken Language Understanding,Marco Dinarelli and Marco Naguib and François Portet,http://arxiv.org/pdf/2207.00352v1
http://arxiv.org/abs/2204.13913v1,creativecommons.org/licenses/by-sa/4.0/,Leaner and Faster: Two-Stage Model Compression for Lightweight Text-Image Retrieval,Siyu Ren and Kenny Q. Zhu,http://arxiv.org/pdf/2204.13913v1
http://arxiv.org/abs/2212.07126v1,creativecommons.org/licenses/by-sa/4.0/,Explainability of Text Processing and Retrieval Methods: A Critical Survey,Sourav Saha and Debapriyo Majumdar and Mandar Mitra,http://arxiv.org/pdf/2212.07126v1
http://arxiv.org/abs/2301.13382v1,creativecommons.org/licenses/by-sa/4.0/,Numeracy from Literacy: Data Science as an Emergent Skill from Large Language Models,David Noever and Forrest McKee,http://arxiv.org/pdf/2301.13382v1
http://arxiv.org/abs/2304.01373v1,creativecommons.org/licenses/by-sa/4.0/,Pythia: A Suite for Analyzing Large Language Models Across Training and Scaling,Stella Biderman and Hailey Schoelkopf and Quentin Anthony and Herbie Bradley and Kyle O'Brien and Eric Hallahan and Mohammad Aflah Khan and Shivanshu Purohit and USVSN Sai Prashanth and Edward Raff and Aviya Skowron and Lintang Sutawika and Oskar van der Wal,http://arxiv.org/pdf/2304.01373v1
http://arxiv.org/abs/2106.02679v1,creativecommons.org/licenses/by-sa/4.0/,Layered gradient accumulation and modular pipeline parallelism: fast and efficient training of large language models,Joel Lamy-Poirier,http://arxiv.org/pdf/2106.02679v1
http://arxiv.org/abs/2103.12450v5,creativecommons.org/licenses/by-sa/4.0/,Are Neural Language Models Good Plagiarists? A Benchmark for Neural Paraphrase Detection,Jan Philip Wahle and Terry Ruas and Norman Meuschke and Bela Gipp,http://arxiv.org/pdf/2103.12450v5
http://arxiv.org/abs/2201.03382v1,creativecommons.org/licenses/by-sa/4.0/,BERT for Sentiment Analysis: Pre-trained and Fine-Tuned Alternatives,Frederico Souza and João Filho,http://arxiv.org/pdf/2201.03382v1
http://arxiv.org/abs/2209.06899v1,creativecommons.org/licenses/by-sa/4.0/,"Out of One, Many: Using Language Models to Simulate Human Samples",Lisa P. Argyle and Ethan C. Busby and Nancy Fulda and Joshua Gubler and Christopher Rytting and David Wingate,http://arxiv.org/pdf/2209.06899v1
http://arxiv.org/abs/2102.06203v2,creativecommons.org/licenses/by-sa/4.0/,Proof Artifact Co-training for Theorem Proving with Language Models,Jesse Michael Han and Jason Rute and Yuhuai Wu and Edward W. Ayers and Stanislas Polu,http://arxiv.org/pdf/2102.06203v2
http://arxiv.org/abs/2006.14223v1,creativecommons.org/licenses/by-sa/4.0/,Neural Machine Translation For Paraphrase Generation,Alex Sokolov and Denis Filimonov,http://arxiv.org/pdf/2006.14223v1
http://arxiv.org/abs/2207.00349v1,creativecommons.org/licenses/by-sa/4.0/,Vers la compréhension automatique de la parole bout-en-bout à moindre effort,Marco Naguib and François Portet and Marco Dinarelli,http://arxiv.org/pdf/2207.00349v1
http://arxiv.org/abs/2210.10668v1,creativecommons.org/licenses/by-sa/4.0/,N-Best Hypotheses Reranking for Text-To-SQL Systems,Lu Zeng and Sree Hari Krishnan Parthasarathi and Dilek Hakkani-Tur,http://arxiv.org/pdf/2210.10668v1
http://arxiv.org/abs/2304.12203v1,creativecommons.org/licenses/by-sa/4.0/,Creating Large Language Model Resistant Exams: Guidelines and Strategies,Simon kaare Larsen,http://arxiv.org/pdf/2304.12203v1
http://arxiv.org/abs/2105.09680v4,creativecommons.org/licenses/by-sa/4.0/,KLUE: Korean Language Understanding Evaluation,Sungjoon Park and Jihyung Moon and Sungdong Kim and Won Ik Cho and Jiyoon Han and Jangwon Park and Chisung Song and Junseong Kim and Yongsook Song and Taehwan Oh and Joohong Lee and Juhyun Oh and Sungwon Lyu and Younghoon Jeong and Inkwon Lee and Sangwoo Seo and Dongjun Lee and Hyunwoo Kim and Myeonghwa Lee and Seongbo Jang and Seungwon Do and Sunkyoung Kim and Kyungtae Lim and Jongwon Lee and Kyumin Park and Jamin Shin and Seonghyun Kim and Lucy Park and Alice Oh and Jung-Woo Ha and Kyunghyun Cho,http://arxiv.org/pdf/2105.09680v4
http://arxiv.org/abs/2302.02083v3,creativecommons.org/licenses/by-sa/4.0/,Theory of Mind May Have Spontaneously Emerged in Large Language Models,Michal Kosinski,http://arxiv.org/pdf/2302.02083v3
http://arxiv.org/abs/2208.06042v1,creativecommons.org/licenses/by-sa/4.0/,CodeBERT-nt: code naturalness via CodeBERT,Ahmed Khanfir and Matthieu Jimenez and Mike Papadakis and Yves Le Traon,http://arxiv.org/pdf/2208.06042v1
http://arxiv.org/abs/2110.02056v1,creativecommons.org/licenses/by-sa/4.0/,Are Training Resources Insufficient? Predict First Then Explain!,Myeongjun Jang and Thomas Lukasiewicz,http://arxiv.org/pdf/2110.02056v1
http://arxiv.org/abs/2006.07890v1,creativecommons.org/licenses/by-sa/4.0/,FinEst BERT and CroSloEngual BERT: less is more in multilingual models,Matej Ulčar and Marko Robnik-Šikonja,http://arxiv.org/pdf/2006.07890v1
http://arxiv.org/abs/2302.13942v2,creativecommons.org/licenses/by-sa/4.0/,Inseq: An Interpretability Toolkit for Sequence Generation Models,Gabriele Sarti and Nils Feldhus and Ludwig Sickert and Oskar van der Wal and Malvina Nissim and Arianna Bisazza,http://arxiv.org/pdf/2302.13942v2
http://arxiv.org/abs/2011.10208v1,creativecommons.org/licenses/by-sa/4.0/,Collaborative Storytelling with Large-scale Neural Language Models,Eric Nichols and Leo Gao and Randy Gomez,http://arxiv.org/pdf/2011.10208v1
http://arxiv.org/abs/2001.07063v4,creativecommons.org/licenses/by-sa/4.0/,Modular coinduction up-to for higher-order languages via first-order transition systems,Jean-Marie Madiot and Damien Pous and Davide Sangiorgi,http://arxiv.org/pdf/2001.07063v4
http://arxiv.org/abs/2212.11135v1,creativecommons.org/licenses/by-sa/4.0/,Array-Aware Matching: Taming the Complexity of Large-Scale Simulation Models,Massimo Fioravanti and Daniele Cattaneo and Federico Terraneo and Silvano Seva and Stefano Cherubin and Giovanni Agosta and Francesco Casella and Alberto Leva,http://arxiv.org/pdf/2212.11135v1
http://arxiv.org/abs/2107.02027v2,creativecommons.org/licenses/by-sa/4.0/,Efficient Sequence Packing without Cross-contamination: Accelerating Large Language Models without Impacting Performance,Mario Michael Krell and Matej Kosec and Sergio P. Perez and Andrew Fitzgibbon,http://arxiv.org/pdf/2107.02027v2
http://arxiv.org/abs/2302.14021v1,creativecommons.org/licenses/by-sa/4.0/,Quantifying Valence and Arousal in Text with Multilingual Pre-trained Transformers,Gonçalo Azevedo Mendes and Bruno Martins,http://arxiv.org/pdf/2302.14021v1
http://arxiv.org/abs/2206.15076v1,creativecommons.org/licenses/by-sa/4.0/,BigBIO: A Framework for Data-Centric Biomedical Natural Language Processing,Jason Alan Fries and Leon Weber and Natasha Seelam and Gabriel Altay and Debajyoti Datta and Samuele Garda and Myungsun Kang and Ruisi Su and Wojciech Kusa and Samuel Cahyawijaya and Fabio Barth and Simon Ott and Matthias Samwald and Stephen Bach and Stella Biderman and Mario Sänger and Bo Wang and Alison Callahan and Daniel León Periñán and Théo Gigant and Patrick Haller and Jenny Chim and Jose David Posada and John Michael Giorgi and Karthik Rangasai Sivaraman and Marc Pàmies and Marianna Nezhurina and Robert Martin and Michael Cullan and Moritz Freidank and Nathan Dahlberg and Shubhanshu Mishra and Shamik Bose and Nicholas Michio Broad and Yanis Labrak and Shlok S Deshmukh and Sid Kiblawi and Ayush Singh and Minh Chien Vu and Trishala Neeraj and Jonas Golde and Albert Villanova del Moral and Benjamin Beilharz,http://arxiv.org/pdf/2206.15076v1
http://arxiv.org/abs/2211.17163v1,creativecommons.org/licenses/by-sa/4.0/,Misogyny classification of German newspaper forum comments,Johann Petrak and Brigitte Krenn,http://arxiv.org/pdf/2211.17163v1
http://arxiv.org/abs/2212.10448v1,creativecommons.org/licenses/by-sa/4.0/,Parameter-efficient Zero-shot Transfer for Cross-Language Dense Retrieval with Adapters,Eugene Yang and Suraj Nair and Dawn Lawrie and James Mayfield and Douglas W. Oard,http://arxiv.org/pdf/2212.10448v1
http://arxiv.org/abs/2304.02016v1,creativecommons.org/licenses/by-sa/4.0/,The Multimodal And Modular Ai Chef: Complex Recipe Generation From Imagery,David Noever and Samantha Elizabeth Miller Noever,http://arxiv.org/pdf/2304.02016v1
http://arxiv.org/abs/2108.06277v1,creativecommons.org/licenses/by-sa/4.0/,Towards Structured Dynamic Sparse Pre-Training of BERT,Anastasia Dietrich and Frithjof Gressmann and Douglas Orr and Ivan Chelombiev and Daniel Justus and Carlo Luschi,http://arxiv.org/pdf/2108.06277v1
http://arxiv.org/abs/2304.03325v1,creativecommons.org/licenses/by-sa/4.0/,ChatGPT-Crawler: Find out if ChatGPT really knows what it's talking about,Aman Rangapur and Haoran Wang,http://arxiv.org/pdf/2304.03325v1
http://arxiv.org/abs/2302.13652v1,creativecommons.org/licenses/by-sa/4.0/,Duration-aware pause insertion using pre-trained language model for multi-speaker text-to-speech,Dong Yang and Tomoki Koriyama and Yuki Saito and Takaaki Saeki and Detai Xin and Hiroshi Saruwatari,http://arxiv.org/pdf/2302.13652v1
http://arxiv.org/abs/2104.08512v2,creativecommons.org/licenses/by-sa/4.0/,Minimal Supervision for Morphological Inflection,Omer Goldman and Reut Tsarfaty,http://arxiv.org/pdf/2104.08512v2
http://arxiv.org/abs/2107.08091v1,creativecommons.org/licenses/by-sa/4.0/,A Comparison of Methods for OOV-word Recognition on a New Public Dataset,Rudolf A. Braun and Srikanth Madikeri and Petr Motlicek,http://arxiv.org/pdf/2107.08091v1
http://arxiv.org/abs/2201.07406v2,creativecommons.org/licenses/by-sa/4.0/,Fooling MOSS Detection with Pretrained Language Models,Stella Biderman and Edward Raff,http://arxiv.org/pdf/2201.07406v2
http://arxiv.org/abs/2206.07048v1,creativecommons.org/licenses/by-sa/4.0/,A smile is all you need: Predicting limiting activity coefficients from SMILES with natural language processing,Benedikt Winter and Clemens Winter and Johannes Schilling and André Bardow,http://arxiv.org/pdf/2206.07048v1
http://arxiv.org/abs/2210.13778v1,creativecommons.org/licenses/by-sa/4.0/,IDK-MRC: Unanswerable Questions for Indonesian Machine Reading Comprehension,Rifki Afina Putri and Alice Oh,http://arxiv.org/pdf/2210.13778v1
http://arxiv.org/abs/2008.02878v1,creativecommons.org/licenses/by-sa/4.0/,A Multilingual Neural Machine Translation Model for Biomedical Data,Alexandre Bérard and Zae Myung Kim and Vassilina Nikoulina and Eunjeong L. Park and Matthias Gallé,http://arxiv.org/pdf/2008.02878v1
http://arxiv.org/abs/2208.10448v1,creativecommons.org/licenses/by-sa/4.0/,Dialogue Term Extraction using Transfer Learning and Topological Data Analysis,Renato Vukovic and Michael Heck and Benjamin Matthias Ruppik and Carel van Niekerk and Marcus Zibrowius and Milica Gašić,http://arxiv.org/pdf/2208.10448v1
http://arxiv.org/abs/2210.15187v1,creativecommons.org/licenses/by-sa/4.0/,Learning Joint Representation of Human Motion and Language,Jihoon Kim and Youngjae Yu and Seungyoun Shin and Taehyun Byun and Sungjoon Choi,http://arxiv.org/pdf/2210.15187v1
http://arxiv.org/abs/2304.02496v1,creativecommons.org/licenses/by-sa/4.0/,Evaluation of ChatGPT Family of Models for Biomedical Reasoning and Classification,Shan Chen and Yingya Li and Sheng Lu and Hoang Van and Hugo JWL Aerts and Guergana K. Savova and Danielle S. Bitterman,http://arxiv.org/pdf/2304.02496v1
http://arxiv.org/abs/1711.01048v2,creativecommons.org/licenses/by-sa/4.0/,Dual Language Models for Code Switched Speech Recognition,Saurabh Garg and Tanmay Parekh and Preethi Jyothi,http://arxiv.org/pdf/1711.01048v2
http://arxiv.org/abs/2109.00271v1,creativecommons.org/licenses/by-sa/4.0/,Discovering Representation Sprachbund For Multilingual Pre-Training,Yimin Fan and Yaobo Liang and Alexandre Muzio and Hany Hassan and Houqiang Li and Ming Zhou and Nan Duan,http://arxiv.org/pdf/2109.00271v1
